TypeOfFood;Energy;Protein;Fat;Water;VitaminA;VitaminB1;VitaminB2;VitaminC
Mars bar;440;5;19;7;0;0.05;0.2;0
Marzipan;440;9;25;10;0;0.1;0.5;0
Matzo;380;10.5;2;7;0;0.1;0.03;0
Mayonnaise;720;2;79;28;80;0.06;0.1;0
Melons;25;0.5;0;93;1000;0.05;0.03;25
Meringues_made with egg white;380;5;0;2;0;0;0.25;0
Milk_Channel Islands;75;3.6;4.8;86.3;50;0.05;0.2;1
Milk;65;3.3;3.8;87.6;50;0.05;0.2;1
Milk_skimmed;33;3.4;0.1;90;0;0.04;0.2;1
Milk_condensed_skimmed;270;9.9;0.3;27;0;0.1;0.6;2
Milk_dried_skimmed;355;36.4;1.3;4.1;0;0.4;1.6;6
Milk_dried_whole;490;26.3;26.3;2.9;350;0.3;1;10
Milk_evaporated_whole;160;8.6;9;68.6;100;0.06;0.5;0
Milk_goat's;70;3.3;4.5;87;40;0.04;0.15;0
Milk_human;70;1.3;4.1;87.1;60;0.02;0.03;4
Milk_condensed_whole_sweetened;320;8.3;9;25.8;100;0.1;0.5;2
Mincemeat;240;0;4;27;0;0;0;0
Muesli;370;13;7.5;6;0;0.3;0.3;0
Mushrooms_raw;15;2;0.6;92;0;0.1;0.4;3
Mushrooms_fried;210;2.2;22;64;0;0.07;0.4;0
Mussels_boiled;90;17;0;79;0;0;0;0
Mussels_raw;70;12;2;84;0;0;0;0
Mustard and cress;10;1.5;0;93;100;0;0;40
Nectarine;50;1;0;74;500;0;0.05;10
Oatmeal porridge;45;1.5;1;90;0;0.05;0;0
Oatmeal_raw;400;12;9;9;0;0.5;0.1;0
Oil_vegetable;900;0;100;0;0;0;0;0
Okra_raw;20;2;0;90;15;0.1;0.1;25
Olives_pickled;80;1;9;60;100;0;0;0
Omelette;200;11;16;69;200;0.1;0.3;0
Onions_boiled;10;0.6;0;97;0;0;0.04;5
Onions_fried;350;2;33;42;0;0;0;0
Onions_raw;25;1;0;93;0;0.03;0.05;10
Onions_spring;35;1;0;87;0;0.03;0.05;25
Orange juice;40;0.6;0;87;50;0.08;0;50
Oranges_peeled;35;1;0;85;50;0.1;0.03;50
Oxtail_stewed (with bones);90;12;5;21;0;0;0.1;0
Pancakes;300;6;16;43;40;0.1;0.2;0
Parsley;20;5;0;79;1500;0.15;0.3;150
Parsnips_boiled;60;1.3;0;83;0;0.07;0.06;10
Parsnips_raw;50;2;0;83;0;0.1;0.08;15
Pastry_flaky_cooked;560;6;40;7;200;0.1;0;0
Pastry_shortcrust_cooked;530;7;32;7;150;0.2;0;0
Peaches_canned in syrup;90;0.5;0;74;40;0;0;0
Peaches_fresh;30;0.5;0;75;70;0;0.04;10
Peanut butter;620;23;54;1;0;0.2;0.1;0
Peanuts_fresh;570;24;50;4;0;1;0.1;0
Peanuts_roasted and salted;570;24;50;4;0;0.2;0.1;0
Pears;30;0.2;0;60;0;0;0;0
Peas_boiled;50;5;0.4;80;50;0.3;0.15;25
Peas_canned;50;5;0.3;82;50;0.1;0.1;8
Peas_chickpeas_cooked;140;8;3.3;66;90;0.1;0.05;3
Peas_chickpeas_raw;320;20;6;10;30;0.5;0.15;3
Peas_dried_boiled;100;7;0.4;70;50;0.6;0.3;0
Peas_dried_raw;290;22;1.3;13;50;0.6;0.3;0
Peas_fresh or frozen;70;6;0.4;78;50;0.3;0.2;25
Peas_split_dried_boiled;120;8;0.3;67;0;0.1;0.06;0
Peas_split_dried_raw;310;22;1;12;30;0.7;0.2;0
Peppers_green_boiled;15;1;0.4;94;40;0;0;60
Peppers_green_raw;15;1;0.4;94;40;0;0.03;100
Pilchards_canned in tomato sauce;130;19;5;70;0;0;0.3;0
Pineapple_canned in syrup;80;0.3;0;77;0;0.05;0;10
Pineapple_fresh;50;0.5;0;84;0;0.08;0;25
Plaice_fried in batter;280;16;18;52;0;0.2;0.15;0
Plaice_fried in breadcrumbs;230;18;14;60;0;0.2;0.2;0
Plaice_raw;90;18;2.2;80;0;0.3;0.1;0
Plaice_steamed;90;19;2;78;0;0.3;0.1;0
Plantain_ raw;110;1;0.2;67;0;0.05;0.05;20
Plantain_boiled;120;2;0;64;0;0;0;3
Plantain_rip;270;1.5;9;35;20;0.1;0;12
Plums_cooked;20;0.5;0;77;30;0.05;0.03;0
Plums_dessert;40;0.5;0;84;30;0.05;0.03;0
Pork pie;380;10;27;37;0;0.2;0.1;0
Pork chops_raw;330;16;30;54;0;0.6;0.15;0
Pork chops_grilled;330;29;24;46;0;0.7;0.2;0
Pork_leg_roast;270;17;23;59;0;0.7;0.2;0
